x ACT_AI   assign
x ACT_BRG  bridge invocation
x ACT_BRK  break
x ACT_CNV  create no variable
x ACT_CON  continue
x ACT_CR   create
x ACT_CTL  control
x ACT_DEL  delete
x ACT_E    else
x ACT_EL   elif
x ACT_FIO  select from instances
- ACT_FIW  select from instances where
x ACT_FNC  function invocation
x ACT_FOR  for
x ACT_IF   if
- ACT_IOP  interface operation invocation
- ACT_REL  relate
- ACT_RET  return
- ACT_RU   relate using
- ACT_SEL  select
- ACT_SGN  signal invocation
- ACT_TFM  operation invocation
- ACT_UNR  unrelate
- ACT_URU  unrelate using
x ACT_WHL  while
- E_ESS    event specification statement
- E_GPR    generate pre-existing

- V_AER    array element reference
- V_ALV    array length reference
x V_AVL    attribute reference
- V_BIN    binary operation
- V_BRV    bridge invocation
- V_EDV    event parameter reference
- V_FNV    function invocation
- V_IRF    instance reference
- V_ISR    instance set reference
x V_LBO    literal boolean
- V_LEN    literal enumerator
- V_LIN    literal integer
- V_LRL    literal real
x V_LST    literal string
- V_MSV    message invocation
- V_MVL    member reference
- V_PVL    parameter reference
- V_SCV    symbolic constant reference
- V_SLR    selected reference
- V_TRV    operation invocation
x V_TVL    variable reference
- V_UNY    unary operation
