- ACT_AI   assign
- ACT_BRG  bridge invocation
- ACT_BRK  break
- ACT_CNV  create no variable
- ACT_CON  continue
- ACT_CR   create
- ACT_CTL  control
- ACT_DEL  delete
- ACT_E    else
- ACT_EL   elif
- ACT_FIO  select from instances
- ACT_FIW  select from instances where
- ACT_FNC  function invocation
- ACT_FOR  for
- ACT_IF   if
- ACT_IOP  interface operation invocation
- ACT_REL  relate
- ACT_RET  return
- ACT_RU   relate using
- ACT_SEL  select
- ACT_SGN  signal invocation
- ACT_TFM  operation invocation
- ACT_UNR  unrelate
- ACT_URU  unrelate using
- ACT_WHL  while
- E_ESS    event specification statement
- E_GPR    generate pre-existing
- V_AER    array element reference
- V_ALV    array length reference
- V_AVL    attribute reference
- V_BIN    binary operation
- V_BRV    bridge invocation
- V_EDV    event parameter reference
- V_FNV    function invocation
- V_IRF    instance reference
- V_ISR    instance set reference
- V_LBO    literal boolean
- V_LEN    literal enumerator
- V_LIN    literal integer
- V_LRL    literal real
- V_LST    literal string
- V_MSV    message invocation
- V_MVL    member reference
- V_PVL    parameter reference
- V_SCV    symbolic constant reference
- V_SLR    selected reference
- V_TRV    operation invocation
- V_TVL    variable reference
- V_UNY    unary operation
